Sr. No.,District,Taluka,No. of Site Registered,Planning Completed (No. of Seedling),No. of Pits Dug,No. of Seedling Planted,No of Participants
1,Ahilyanagar,Akole,579,"2,67,518","2,63,116","2,63,116",334
2,Ahilyanagar,Jamkhed,156,"1,39,439","79,258","79,258",0
3,Ahilyanagar,Karjat,115,"1,06,804","1,03,904","1,03,904",0
4,Ahilyanagar,Kopargaon,227,"86,586","85,586","85,586",0
5,Ahilyanagar,Nagar,578,"1,47,272","1,47,272","1,47,272",0
6,Ahilyanagar,Newasa,367,"2,97,795","2,94,395","2,94,395",0
7,Ahilyanagar,Parner,265,"2,25,278","2,06,383","1,93,847",0
8,Ahilyanagar,Pathardi,289,"1,66,028","1,65,824","1,65,824",472
9,Ahilyanagar,Rahata,377,"1,13,260","1,10,260","1,10,260",0
10,Ahilyanagar,Rahuri,391,"1,45,580","1,45,580","1,45,580",0
11,Ahilyanagar,Sangamner,"1,096","7,72,729","7,68,929","7,68,929",35
12,Ahilyanagar,Shevgaon,"1,958","1,22,693","1,22,453","1,22,453",430
13,Ahilyanagar,Shrigonda,336,"2,23,821","1,96,336","1,96,336",41
14,Ahilyanagar,Shrirampur,138,"54,574","54,174","54,174",0
15,Akola,Akola,443,"5,20,664","4,77,615","4,65,105",191
16,Akola,Akot,455,"1,65,077","69,194","69,194",0
17,Akola,Balapur,341,"1,20,002","60,870","60,870",0
18,Akola,Barshitakli,564,"2,56,497","2,42,617","2,42,617",0
19,Akola,Murtajapur,518,"3,80,765","3,80,765","3,46,219",0
20,Akola,Patur,336,"3,88,589","2,93,289","2,93,289",0
21,Akola,Telhara,329,"65,437","57,829","57,829",0
22,Amravati,Achalpur,"1,063","45,537","39,522","28,872",0
23,Amravati,Amravati,650,"1,92,342","1,51,794","1,48,783",0
24,Amravati,Anjangaon-Surji,532,"1,15,097","86,746","84,746",0
25,Amravati,Bhatukali,365,"32,113","9,367","8,367",0
26,Amravati,Chandur,474,"42,028","26,001","26,001",0
27,Amravati,Chandurbazar,"1,141","47,313","18,883","14,383",0
28,Amravati,Chikhaldara,282,"3,18,052","3,06,825","3,00,867","1,809"
29,Amravati,Daryapur,580,"27,804","20,204","20,204",215
30,Amravati,Dhamangaon,894,"63,092","11,186","11,186",0
31,Amravati,Dharni,225,"90,964","90,964","80,678","3,426"
32,Amravati,Morshi,563,"75,088","67,938","67,788",0
33,Amravati,Nandgaon Khandeshwar,"1,031","93,535","26,520","26,520",0
34,Amravati,Teosa,408,"87,952","33,784","25,784",0
35,Amravati,Warud,513,"1,94,093","1,38,162","1,37,162",0
36,Beed,Ambejogai,85,"3,08,861","3,03,306","3,03,306",0
37,Beed,Ashti,176,"3,42,997","2,74,293","2,74,283",0
38,Beed,Beed,304,"3,62,297","3,55,542","3,55,542",0
39,Beed,Dharur,67,"1,95,523","1,81,368","1,78,968",0
40,Beed,Georai,148,"1,88,514","1,71,752","1,71,752",0
41,Beed,Kaij,110,"1,22,006","1,22,006","1,22,006",0
42,Beed,Manjalgaon,64,"45,418","44,258","44,258",0
43,Beed,Parli,17,"1,53,230","1,52,430","1,52,430",0
44,Beed,Patoda,211,"3,22,605","3,12,980","3,12,980",100
45,Beed,Shirur Kasar,421,"84,826","79,271","79,271",0
46,Beed,Wadwani,30,"15,574","15,574","15,574",0
47,Bhandara,Bhandara,518,"1,81,537","77,363","76,363",82
48,Bhandara,Lakhandur,217,"1,30,321","29,336","29,336",0
49,Bhandara,Lakhni,157,"81,308","26,296","26,296",35
50,Bhandara,Mohadi,261,"1,07,747","78,859","78,859",510
51,Bhandara,Pauni,160,"89,766","14,018","14,018",0
52,Bhandara,Sakoli,265,"1,26,975","81,505","81,505",85
53,Bhandara,Tumsar,244,"1,33,128","40,360","39,803",0
54,Buldhana,Buldhana,444,"81,978","66,018","66,018",30
55,Buldhana,Chikhli,124,"1,22,329","1,00,959","1,00,959",0
56,Buldhana,Deulgaon Raja,120,"23,325","16,305","16,305",0
57,Buldhana,Jalgaon Jamod,122,"86,825","63,555","63,355",0
58,Buldhana,Khamgaon,596,"2,89,208","1,81,860","1,81,860",0
59,Buldhana,Lonar,94,"82,714","59,814","59,814",0
60,Buldhana,Malkapur,84,"25,930","23,930","23,930",0
61,Buldhana,Mehkar,198,"87,069","60,129","60,129",0
62,Buldhana,Motala,121,"1,63,179","1,37,679","1,37,679",0
63,Buldhana,Nandura,98,"16,307","16,307","16,307",0
64,Buldhana,Sangrampur,461,"37,166","27,708","26,508",0
65,Buldhana,Shegaon,158,"19,715","14,225","13,225",0
66,Buldhana,Sindkhed Raja,195,"1,11,611","19,999","19,999",0
67,Chandrapur,Ballarpur,106,"14,88,513","14,85,035","14,85,035",284
68,Chandrapur,Bhadravati,170,"52,478","48,478","48,478",88
69,Chandrapur,Brahmapuri,186,"1,33,894","1,33,240","1,33,240",295
70,Chandrapur,Chandrapur,895,"6,50,506","5,75,506","3,58,122",0
71,Chandrapur,Chimur,186,"3,55,466","3,52,554","3,51,728",130
72,Chandrapur,Gondpipri,110,"70,747","62,820","44,711",145
73,Chandrapur,Jivati,403,"13,540","12,540","12,540",0
74,Chandrapur,Korpana,538,"34,642","31,642","31,642",0
75,Chandrapur,Mul,225,"22,170","22,170","22,170",0
76,Chandrapur,Nagbhid,86,"30,257","30,257","22,997",47
77,Chandrapur,Pombhurna,274,"1,31,948","1,19,638","1,19,638",478
78,Chandrapur,Rajura,174,"72,617","60,507","53,725",209
79,Chandrapur,Sawali,157,"1,49,833","1,41,093","1,38,893",30
80,Chandrapur,Sindewahi,123,"21,638","20,638","19,888",338
81,Chandrapur,Warora,253,"46,551","46,051","44,051",168
82,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,329,"2,20,864","2,06,442","1,93,442",0
83,Chhatrapati Sambhajinagar,Gangapur,153,"48,651","44,651","44,651",0
84,Chhatrapati Sambhajinagar,Kannad,181,"1,32,232","88,560","88,560",0
85,Chhatrapati Sambhajinagar,Khuldabad,75,"2,53,308","2,49,197","2,49,197",0
86,Chhatrapati Sambhajinagar,Paithan,126,"3,22,202","3,16,762","3,16,762",0
87,Chhatrapati Sambhajinagar,Phulambri,65,"23,942","17,942","17,942",0
88,Chhatrapati Sambhajinagar,Sillod,62,"20,802","2,135","2,135",0
89,Chhatrapati Sambhajinagar,Soegaon,104,"19,527","2,417","2,417",0
90,Chhatrapati Sambhajinagar,Vaijapur,193,"32,647","17,537","17,537",0
91,Dharashiv,Bhoom,95,"1,97,693","1,92,692","1,92,692",130
92,Dharashiv,Dharashiv,303,"4,49,036","4,47,036","4,47,036","1,320"
93,Dharashiv,Kalamb,107,"1,33,074","1,18,964","1,18,964",90
94,Dharashiv,Lohara,115,"1,52,479","1,44,424","1,29,424",746
95,Dharashiv,Paranda,110,"1,92,385","1,75,720","1,75,720",140
